Date,Name,Expense,Amount
2024-10-21,Uber,Expense,5.97
2023-02-28,Misc Income,Income,845.75
2024-05-15,Target,Expense,20.89
2022-03-22,Target,Expense,914.6
2023-12-10,Amazon,Expense,636.81
2022-10-17,Apple Store,Expense,1.34
2024-12-21,Salary Deposit,Income,339.22
2022-05-28,Internet Provider,Expense,781.74
2023-10-04,Salary Deposit,Income,662.68
2023-06-27,Salary Deposit,Income,789.91
2024-03-26,Salary Deposit,Income,97.87
2023-05-19,Starbucks,Expense,932.24
2024-12-21,Best Buy,Expense,174.52
2023-10-13,Misc Income,Income,842.21
2024-05-06,Target,Expense,737.51
2023-07-13,McDonald's,Expense,661.59
2023-07-19,Salary Deposit,Income,243.58
2023-09-29,Salary Deposit,Income,808.66
2023-09-25,Car Insurance,Expense,337.46
2024-11-07,Salary Deposit,Income,36.68
2022-12-31,Salary Deposit,Income,909.48
2022-09-03,Salary Deposit,Income,432.88
2022-09-23,Salary Deposit,Income,376.8
2024-05-16,Rent Payment,Expense,407.02
2024-03-08,Home Depot,Expense,703.21
2023-09-24,Walmart,Expense,216.18
2024-06-14,Misc Income,Income,480.82
2023-04-13,Misc Income,Income,906.87
2024-12-08,Health Insurance,Expense,735.09
2022-08-11,Salary Deposit,Income,744.29
2024-11-11,Car Insurance,Expense,276.22
2022-04-08,Phone Company,Expense,509.59
2023-06-22,Salary Deposit,Income,667.78
2024-05-17,Health Insurance,Expense,100.47
2022-07-12,Salary Deposit,Income,235.94
2023-08-10,Salary Deposit,Income,212.71
2023-03-21,Car Insurance,Expense,336.17
2024-01-01,Salary Deposit,Income,221.74
2023-04-20,Salary Deposit,Income,107.18
2022-11-12,Salary Deposit,Income,5.42
2024-03-13,Water Utility,Expense,531.23
2022-10-18,Target,Expense,603.54
2024-04-16,Health Insurance,Expense,535.54
2022-08-07,Walmart,Expense,971.16
2022-04-15,Shell Gas,Expense,532.85
2022-11-11,Salary Deposit,Income,721.55
2022-09-16,Misc Income,Income,237.36
2024-10-25,Spotify,Expense,532.18
2023-01-08,Amazon,Expense,63.4
2024-01-08,McDonald's,Expense,799.4
2023-11-27,Car Insurance,Expense,180.48
2024-09-24,Amazon,Expense,835.87
2022-09-22,Salary Deposit,Income,780.22
2023-08-30,Electric Company,Expense,382.86
2024-02-21,McDonald's,Expense,249.11
2022-10-22,Phone Company,Expense,546.95
2022-04-25,Salary Deposit,Income,554.4
2023-11-26,Salary Deposit,Income,640.41
2022-09-28,Salary Deposit,Income,401.83
2022-03-08,Salary Deposit,Income,546.2
2023-03-05,Misc Income,Income,95.12
2022-03-06,Gym Membership,Expense,619.7
2023-12-05,Car Insurance,Expense,213.04
2023-01-23,Salary Deposit,Income,526.55
2024-06-27,Salary Deposit,Income,611.76
2024-12-23,Uber,Expense,440.37
2022-05-04,Electric Company,Expense,229.34
2023-02-16,Salary Deposit,Income,217.24
2024-12-19,Salary Deposit,Income,385.61
2024-09-11,Salary Deposit,Income,973.43
2022-06-14,Best Buy,Expense,844.06
2022-10-13,Amazon,Expense,489.29
2022-10-22,Netflix,Expense,350.76
2023-05-19,Kroger,Expense,153.71
2022-05-10,Misc Income,Income,463.8
2023-01-13,Car Insurance,Expense,968.38
2024-10-21,Salary Deposit,Income,259.24
2023-03-14,Amazon,Expense,510.96
2022-04-08,Uber,Expense,932.05
2022-12-13,Costco,Expense,650.31
2024-12-13,Salary Deposit,Income,390.29
2024-03-24,Best Buy,Expense,947.95
2023-12-30,Amazon,Expense,482.45
2023-02-28,Salary Deposit,Income,133.63
2023-07-21,Misc Income,Income,299.68
2022-10-31,Uber,Expense,662.82
2022-02-21,Misc Income,Income,662.14
2022-08-24,Water Utility,Expense,679.02
2024-02-14,Walgreens,Expense,374.89
2022-08-20,Spotify,Expense,603.0
2022-03-07,Uber,Expense,536.51
2023-11-12,Water Utility,Expense,687.9
2024-07-04,Amazon,Expense,671.66
2023-07-15,Internet Provider,Expense,648.95
2022-07-24,Salary Deposit,Income,363.04
2022-07-25,Apple Store,Expense,685.62
2022-05-08,Misc Income,Income,831.99
2024-02-17,Salary Deposit,Income,114.62
2024-05-10,Salary Deposit,Income,200.26
2022-10-28,Water Utility,Expense,205.31
2022-12-09,Rent Payment,Expense,869.61
2024-01-19,Salary Deposit,Income,955.18
2022-10-04,Salary Deposit,Income,694.38
2024-03-20,Costco,Expense,973.13
2024-03-15,Salary Deposit,Income,637.88
2022-04-23,Internet Provider,Expense,93.68
2023-09-06,Salary Deposit,Income,792.29
2024-11-21,Amazon,Expense,919.54
2024-06-17,Salary Deposit,Income,448.38
2022-12-12,Misc Income,Income,335.28
2023-06-30,Electric Company,Expense,974.83
2022-11-16,Electric Company,Expense,231.13
2023-03-29,Salary Deposit,Income,147.39
2023-08-03,Salary Deposit,Income,451.16
2023-09-28,Misc Income,Income,106.45
2024-10-14,McDonald's,Expense,370.42
2022-09-08,Salary Deposit,Income,773.02
2023-02-23,Rent Payment,Expense,853.91
2022-11-29,Car Insurance,Expense,575.17
2022-04-19,Misc Income,Income,965.0
2022-05-17,Salary Deposit,Income,12.13
2023-02-21,Best Buy,Expense,857.95
2022-03-19,Starbucks,Expense,965.01
2023-01-14,Misc Income,Income,235.42
2022-03-09,Health Insurance,Expense,995.63
2024-07-03,Salary Deposit,Income,426.34
2022-10-11,McDonald's,Expense,497.97
2023-02-08,Salary Deposit,Income,825.18
2024-06-30,Apple Store,Expense,53.78
2023-04-01,Salary Deposit,Income,704.48
2023-02-15,Spotify,Expense,40.36
2022-10-07,Salary Deposit,Income,988.23
2023-11-15,Salary Deposit,Income,532.56
2024-10-27,Costco,Expense,668.14
2023-01-10,Misc Income,Income,121.14
2023-04-01,Misc Income,Income,597.24
2024-01-27,Phone Company,Expense,148.92
2022-11-08,Netflix,Expense,732.86
2023-05-16,Apple Store,Expense,692.25
2024-03-23,Salary Deposit,Income,6.48
2023-04-24,Salary Deposit,Income,804.74
2023-04-12,Salary Deposit,Income,890.63
2023-03-06,Water Utility,Expense,758.14
2022-02-18,Car Insurance,Expense,571.66
2023-01-27,Kroger,Expense,832.29
2023-03-19,Salary Deposit,Income,524.23
2024-11-09,Misc Income,Income,613.45
2024-06-02,Misc Income,Income,443.77
2022-05-04,Costco,Expense,658.87
2022-05-17,Home Depot,Expense,270.71
2024-09-24,Amazon,Expense,567.27
2022-07-06,Salary Deposit,Income,751.09
2024-07-27,Misc Income,Income,483.27
2022-09-24,Salary Deposit,Income,658.03
2023-12-10,Salary Deposit,Income,748.62
2022-05-13,CVS Pharmacy,Expense,397.33
2022-02-22,Salary Deposit,Income,522.91
2023-03-31,Health Insurance,Expense,850.9
2022-05-11,Uber,Expense,720.66
2024-07-18,Home Depot,Expense,336.88
2024-12-14,Gym Membership,Expense,348.04
2023-11-17,Salary Deposit,Income,585.9
2024-07-31,Misc Income,Income,784.75
2023-03-12,Misc Income,Income,530.3
2022-03-24,Salary Deposit,Income,809.15
2023-05-10,Kroger,Expense,215.38
2024-04-24,Rent Payment,Expense,71.57
2024-12-07,Salary Deposit,Income,963.79
2024-06-16,Salary Deposit,Income,214.48
2023-01-26,Uber,Expense,980.93
2022-07-18,Amazon,Expense,450.95
2023-11-05,Car Insurance,Expense,360.82
2022-08-08,Electric Company,Expense,22.78
2022-09-18,Uber,Expense,178.07
2022-04-14,Netflix,Expense,195.44
2024-02-29,CVS Pharmacy,Expense,40.84
2023-02-01,Car Insurance,Expense,369.89
2023-12-03,Rent Payment,Expense,460.13
2024-01-23,Salary Deposit,Income,127.78
2023-01-18,Salary Deposit,Income,837.1
2022-08-06,Walmart,Expense,834.88
2023-09-09,Salary Deposit,Income,948.41
2023-10-16,Salary Deposit,Income,494.7
2024-02-01,Apple Store,Expense,650.45
2023-02-27,Salary Deposit,Income,173.74
2024-03-09,Best Buy,Expense,84.1
2022-03-24,Netflix,Expense,143.0
2024-02-03,Uber,Expense,784.8
2024-06-10,Best Buy,Expense,797.28
2024-08-10,Salary Deposit,Income,470.71
2023-10-27,Misc Income,Income,815.13
2022-07-14,CVS Pharmacy,Expense,282.9
2023-08-24,Misc Income,Income,944.52
2022-12-13,Misc Income,Income,113.78
2022-07-12,Spotify,Expense,32.59
2024-05-06,Misc Income,Income,745.79
2022-02-09,Salary Deposit,Income,41.32
2022-02-02,Misc Income,Income,671.41
2023-12-07,Salary Deposit,Income,247.05
2022-08-22,Salary Deposit,Income,584.67
2024-06-25,Electric Company,Expense,331.85
2022-02-10,Amazon,Expense,669.55
2022-03-13,Target,Expense,816.58
2024-12-12,Salary Deposit,Income,998.24
2023-12-07,Internet Provider,Expense,291.18
2024-04-16,Salary Deposit,Income,52.3
2024-12-25,Salary Deposit,Income,616.4
2024-06-03,Water Utility,Expense,594.22
2023-03-19,Misc Income,Income,297.88
2023-04-28,Salary Deposit,Income,470.73
2022-01-03,Walmart,Expense,476.97
2022-06-30,Amazon,Expense,640.52
2022-02-26,Car Insurance,Expense,770.05
2022-10-13,Salary Deposit,Income,471.45
2023-08-17,Home Depot,Expense,267.96
2024-03-11,Salary Deposit,Income,292.32
2023-07-26,Salary Deposit,Income,971.35
2024-04-17,Spotify,Expense,52.33
2023-07-31,Internet Provider,Expense,658.54
2023-08-12,Misc Income,Income,442.16
2024-12-12,Salary Deposit,Income,155.96
2023-09-05,Salary Deposit,Income,849.37
2023-11-16,Best Buy,Expense,22.14
2024-11-09,Misc Income,Income,935.42
2022-10-25,Salary Deposit,Income,570.2
2024-07-20,Target,Expense,472.27
2023-10-18,Salary Deposit,Income,914.99
2022-03-20,Uber,Expense,865.26
2023-10-10,Salary Deposit,Income,95.19
2024-01-25,Walgreens,Expense,982.34
2022-01-12,Spotify,Expense,326.15
2024-01-02,Misc Income,Income,768.15
2024-07-27,Salary Deposit,Income,18.88
2022-05-18,Salary Deposit,Income,442.43
2023-09-21,Salary Deposit,Income,523.42
2024-07-05,Salary Deposit,Income,341.57
2024-07-24,Home Depot,Expense,744.37
2022-09-22,Salary Deposit,Income,308.57
2023-05-01,Apple Store,Expense,661.47
2022-11-12,Misc Income,Income,943.76
2022-10-28,Spotify,Expense,781.7
2022-11-09,Salary Deposit,Income,163.67
2022-11-09,Salary Deposit,Income,389.03
2024-04-13,Salary Deposit,Income,789.4
2022-05-22,Best Buy,Expense,566.72
2023-08-21,Netflix,Expense,614.96
2024-08-31,CVS Pharmacy,Expense,110.39
2022-12-09,Gym Membership,Expense,543.47
2023-03-28,Salary Deposit,Income,297.16
2023-01-06,Salary Deposit,Income,944.21
2022-02-06,Starbucks,Expense,840.61
2024-07-03,McDonald's,Expense,64.85
2022-08-02,McDonald's,Expense,113.51
2022-10-26,Starbucks,Expense,76.2
2024-03-01,Home Depot,Expense,501.29
2024-01-02,Misc Income,Income,885.04
2024-11-18,Walgreens,Expense,66.48
2022-07-08,Salary Deposit,Income,829.55
2023-11-13,Costco,Expense,728.08
2024-04-13,Salary Deposit,Income,528.94
2022-09-17,Gym Membership,Expense,801.89
2023-05-19,Spotify,Expense,445.74
2022-11-09,Target,Expense,588.56
2023-10-26,McDonald's,Expense,416.08
2023-05-14,Salary Deposit,Income,981.38
2024-04-22,Water Utility,Expense,123.71
2024-12-17,Gym Membership,Expense,739.02
2023-10-01,Salary Deposit,Income,174.2
2022-09-09,Misc Income,Income,572.42
2022-06-22,Uber,Expense,287.92
2023-06-09,Salary Deposit,Income,450.25
2023-08-06,Salary Deposit,Income,399.63
2023-01-28,Salary Deposit,Income,929.42
2022-02-18,Walmart,Expense,520.86
2022-03-19,Salary Deposit,Income,14.86
2023-01-07,Home Depot,Expense,119.04
2022-07-21,Salary Deposit,Income,289.23
2023-09-09,Internet Provider,Expense,730.14
2024-08-02,Car Insurance,Expense,721.36
2024-07-16,Rent Payment,Expense,65.67
2023-09-15,Gym Membership,Expense,932.29
2023-12-10,Amazon,Expense,978.58
2022-06-30,Water Utility,Expense,487.82
2022-08-03,Salary Deposit,Income,709.78
2023-03-06,Salary Deposit,Income,212.98
2023-12-27,Salary Deposit,Income,776.76
2022-08-19,Target,Expense,723.87
2022-11-05,Spotify,Expense,942.64
2024-05-31,Home Depot,Expense,511.77
2024-10-12,Walgreens,Expense,625.9
2023-12-11,Misc Income,Income,870.87
2024-06-28,Misc Income,Income,192.2
2022-04-04,Rent Payment,Expense,439.24
2022-03-13,Salary Deposit,Income,418.01
2022-08-24,McDonald's,Expense,615.26
2023-10-23,Salary Deposit,Income,753.06
2023-07-01,Salary Deposit,Income,878.21
2024-09-16,Misc Income,Income,822.0
2023-10-02,Amazon,Expense,666.25
2023-03-07,Electric Company,Expense,465.86
2023-10-13,Salary Deposit,Income,395.01
2022-03-22,Uber,Expense,318.36
2024-12-08,Salary Deposit,Income,271.84
2023-08-30,CVS Pharmacy,Expense,313.3
2022-03-08,Uber,Expense,441.58
2023-05-03,Water Utility,Expense,843.78
2022-10-24,Best Buy,Expense,614.47
2024-04-21,Misc Income,Income,738.52
2022-02-09,Netflix,Expense,797.91
2023-10-23,Health Insurance,Expense,108.91
2022-03-28,Electric Company,Expense,295.61
2023-02-18,Salary Deposit,Income,904.38
2024-07-11,Salary Deposit,Income,454.07
2023-08-16,Salary Deposit,Income,966.88
2023-02-19,Netflix,Expense,819.62
2024-03-28,Misc Income,Income,260.08
2024-06-17,Salary Deposit,Income,251.52
2023-01-11,Salary Deposit,Income,215.67
2022-03-22,Salary Deposit,Income,998.74
2022-07-01,Gym Membership,Expense,918.09
2024-05-14,Best Buy,Expense,622.28
2022-05-14,Costco,Expense,728.65
2022-12-16,Salary Deposit,Income,688.17
2023-05-24,Rent Payment,Expense,648.45
2024-11-24,Spotify,Expense,253.06
2024-04-24,Salary Deposit,Income,402.25
2022-10-31,Salary Deposit,Income,415.17
2023-10-18,Kroger,Expense,620.5
2022-06-22,Amazon,Expense,695.39
2024-09-13,Uber,Expense,519.35
2022-08-06,Salary Deposit,Income,178.92
2023-03-02,Kroger,Expense,179.64
2024-06-01,Salary Deposit,Income,744.91
2022-05-03,Salary Deposit,Income,94.09
2023-10-11,Apple Store,Expense,12.5
2024-05-17,Salary Deposit,Income,64.39
2023-11-13,Internet Provider,Expense,223.87
2024-10-11,Walmart,Expense,525.8
2024-01-20,Health Insurance,Expense,170.7
2023-03-22,Amazon,Expense,701.05
2022-06-16,Salary Deposit,Income,427.34
2024-04-23,Salary Deposit,Income,724.38
2022-07-12,CVS Pharmacy,Expense,43.35
2024-03-14,Water Utility,Expense,57.69
2023-09-16,CVS Pharmacy,Expense,613.38
2022-10-09,Salary Deposit,Income,432.79
2022-03-13,Salary Deposit,Income,923.0
2024-06-28,Water Utility,Expense,190.94
2022-07-20,Netflix,Expense,176.87
2023-10-09,Rent Payment,Expense,374.6
2024-05-19,Shell Gas,Expense,85.32
2023-05-02,Salary Deposit,Income,764.04
2024-03-14,Salary Deposit,Income,997.99
2022-04-04,Water Utility,Expense,636.86
2024-05-31,McDonald's,Expense,738.22
2023-10-02,Salary Deposit,Income,109.71
2023-01-08,Electric Company,Expense,594.3
2022-01-09,Misc Income,Income,929.21
2023-02-14,Home Depot,Expense,747.13
2024-05-31,Car Insurance,Expense,359.37
2024-05-08,Apple Store,Expense,819.77
2023-11-21,Salary Deposit,Income,355.82
2024-01-17,Walgreens,Expense,61.98
2023-04-01,Salary Deposit,Income,822.56
2024-02-17,Health Insurance,Expense,229.3
2024-01-03,Misc Income,Income,679.02
2022-01-11,Health Insurance,Expense,63.21
2024-07-13,Rent Payment,Expense,648.29
2024-03-29,Salary Deposit,Income,722.68
2023-08-14,Salary Deposit,Income,429.43
2022-11-21,Phone Company,Expense,929.74
2022-06-06,Misc Income,Income,338.13
2022-01-12,Phone Company,Expense,714.27
2023-01-20,Salary Deposit,Income,159.33
2023-08-22,Salary Deposit,Income,663.78
2023-09-12,Amazon,Expense,632.98
2023-07-26,Salary Deposit,Income,924.99
2023-04-22,Apple Store,Expense,53.66
2024-02-27,Rent Payment,Expense,845.59
2023-10-13,Salary Deposit,Income,390.65
2022-10-11,Salary Deposit,Income,395.31
2023-04-11,Salary Deposit,Income,775.67
2023-07-09,Costco,Expense,398.86
2024-05-09,Starbucks,Expense,587.78
2023-08-08,Uber,Expense,854.69
2022-09-20,Car Insurance,Expense,798.81
2023-06-21,Health Insurance,Expense,679.13
2024-05-31,Salary Deposit,Income,529.76
2022-11-12,Salary Deposit,Income,870.45
2022-04-14,Salary Deposit,Income,309.24
2024-09-16,Internet Provider,Expense,680.47
2023-03-12,Salary Deposit,Income,858.8
2023-08-29,Salary Deposit,Income,990.9
2024-07-21,Salary Deposit,Income,111.98
2024-04-06,Salary Deposit,Income,89.21
2024-12-15,Rent Payment,Expense,520.94
2024-04-02,Salary Deposit,Income,949.64
2022-10-20,Misc Income,Income,790.64
2022-11-03,Misc Income,Income,222.18
2022-01-17,Misc Income,Income,583.35
2023-04-07,Salary Deposit,Income,248.24
2023-07-25,Salary Deposit,Income,657.34
2022-06-13,Walgreens,Expense,191.76
2024-02-08,Water Utility,Expense,395.36
2022-07-25,Starbucks,Expense,553.04
2024-09-28,Spotify,Expense,992.24
2022-03-11,Salary Deposit,Income,841.06
2023-05-27,Salary Deposit,Income,259.42
2023-10-06,Salary Deposit,Income,243.92
2024-01-19,Salary Deposit,Income,539.29
2022-09-24,Salary Deposit,Income,254.89
2022-11-16,Walgreens,Expense,608.47
2022-07-18,Salary Deposit,Income,610.98
2023-06-02,Starbucks,Expense,774.65
2024-08-21,Salary Deposit,Income,325.24
2024-09-01,Salary Deposit,Income,795.48
2023-10-03,Salary Deposit,Income,432.24
2022-06-25,Misc Income,Income,184.04
2024-05-15,Salary Deposit,Income,82.38
2023-05-29,Target,Expense,883.38
2024-10-23,Phone Company,Expense,426.52
2024-08-31,Salary Deposit,Income,601.06
2024-10-30,Salary Deposit,Income,367.37
2022-01-25,Salary Deposit,Income,280.26
2022-06-23,Internet Provider,Expense,8.55
2024-03-20,Best Buy,Expense,606.52
2022-03-23,Target,Expense,144.5
2024-07-20,Salary Deposit,Income,149.91
2024-04-17,Salary Deposit,Income,278.19
2023-06-05,McDonald's,Expense,681.27
2022-05-17,Car Insurance,Expense,186.85
2022-05-20,Walgreens,Expense,236.87
2024-08-08,Salary Deposit,Income,582.78
2022-03-02,Car Insurance,Expense,399.98
2024-01-14,Salary Deposit,Income,931.93
2022-06-14,Amazon,Expense,285.56
2023-01-11,Car Insurance,Expense,818.5
2022-09-01,Target,Expense,348.11
2022-05-10,Amazon,Expense,482.75
2022-09-15,Internet Provider,Expense,726.2
2022-04-16,Car Insurance,Expense,883.47
2022-05-19,Salary Deposit,Income,32.67
2023-02-11,Car Insurance,Expense,945.0
2024-01-10,Gym Membership,Expense,579.49
2024-07-17,Uber,Expense,718.49
2022-11-28,Salary Deposit,Income,587.49
2024-04-26,Salary Deposit,Income,737.35
2023-05-11,Salary Deposit,Income,687.24
2023-09-05,Salary Deposit,Income,993.44
2023-01-05,Gym Membership,Expense,746.76
2023-06-10,Home Depot,Expense,692.31
2024-09-05,Salary Deposit,Income,328.11
2024-05-31,Target,Expense,698.56
2022-12-18,Salary Deposit,Income,651.4
2024-09-13,Salary Deposit,Income,16.49
2024-01-01,Home Depot,Expense,586.35
2023-07-19,Salary Deposit,Income,262.15
2023-11-01,Misc Income,Income,245.34
2022-08-01,Misc Income,Income,762.41
2024-08-31,Salary Deposit,Income,446.65
2023-08-14,Salary Deposit,Income,230.89
2024-08-27,Salary Deposit,Income,194.41
2023-04-12,McDonald's,Expense,547.58
2022-07-23,Misc Income,Income,271.14
2022-05-04,Walmart,Expense,840.47
2023-08-12,Salary Deposit,Income,595.84
2022-11-30,Salary Deposit,Income,913.89
2022-04-17,Misc Income,Income,439.38
2024-05-09,Walmart,Expense,68.38
2023-06-20,Netflix,Expense,181.59
2023-03-16,Salary Deposit,Income,434.57
2023-11-12,Amazon,Expense,330.9
2024-03-07,Salary Deposit,Income,261.18
2022-11-25,Salary Deposit,Income,790.53
2023-10-09,Salary Deposit,Income,275.7
2022-11-12,Salary Deposit,Income,82.46
2022-03-26,Rent Payment,Expense,658.24
2024-01-29,Salary Deposit,Income,202.79
2023-02-23,Misc Income,Income,649.49
2022-04-23,Netflix,Expense,351.68
2024-03-18,Salary Deposit,Income,464.23
2022-04-18,Shell Gas,Expense,690.07
2023-05-05,Salary Deposit,Income,63.54
2024-09-06,Salary Deposit,Income,825.69
2022-09-15,Apple Store,Expense,310.62
2022-04-19,Shell Gas,Expense,432.01
2024-01-30,Electric Company,Expense,447.35
2023-12-12,Phone Company,Expense,732.19
2024-11-21,Walmart,Expense,750.37
2023-04-24,Salary Deposit,Income,275.17
2022-04-02,Target,Expense,153.54
2024-09-26,Misc Income,Income,80.6
2024-01-08,Gym Membership,Expense,73.8
2023-05-26,Salary Deposit,Income,403.05
2023-02-12,Walgreens,Expense,263.53
2023-01-17,Salary Deposit,Income,520.38
2023-06-11,Salary Deposit,Income,228.17
2022-07-16,Misc Income,Income,159.85
2022-09-15,Walgreens,Expense,584.62
2022-06-09,Salary Deposit,Income,897.68
2023-10-19,Salary Deposit,Income,304.7
2023-07-29,Salary Deposit,Income,987.39
2024-09-17,Salary Deposit,Income,406.74
2023-03-25,Salary Deposit,Income,841.92
2023-12-09,Salary Deposit,Income,113.97
